                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93863,                0.48028,                 1.1182,                0.97621,                0.98469,                0.99372,                0.76869,                0.91249,                 0.3704,                 1.1217,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.9517,                0.48559,                  1.129,                0.97477,                0.98544,                0.98664,                0.75821,                0.91348,                0.36598,                 1.1189,              0.0013268,              0.0013268,              0.0013268
                     37,                0.95524,                0.48878,                 1.1287,                0.97011,                 0.9937,                0.98876,                0.75949,                0.95499,                0.38311,                 1.1467,               0.001307,               0.001307,               0.001307
                     38,                 0.9473,                0.48245,                 1.1258,                0.98267,                0.98469,                0.99021,                0.76347,                0.90582,                0.37018,                 1.1136,              0.0012872,              0.0012872,              0.0012872
                     39,                0.94415,                0.48021,                 1.1211,                0.97864,                 0.9898,                0.99408,                0.75896,                0.94052,                0.36475,                 1.1413,              0.0012674,              0.0012674,              0.0012674
                     40,                0.94607,                 0.4792,                 1.1273,                0.96941,                 0.9949,                0.99388,                0.76576,                0.91046,                0.35426,                  1.118,              0.0012476,              0.0012476,              0.0012476
                     41,                0.93585,                 0.4786,                 1.1189,                0.96478,                      1,                0.99258,                0.77339,                 0.9218,                 0.3567,                 1.1239,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.9281,                0.47094,                 1.1137,                0.97939,                0.98469,                0.98796,                0.74496,                0.95257,                  0.378,                 1.1446,               0.001208,               0.001208,               0.001208
                     43,                0.94845,                0.48192,                 1.1284,                0.97689,                 0.9898,                 0.9934,                0.76216,                0.93565,                0.36146,                 1.1271,              0.0011882,              0.0011882,              0.0011882
                     44,                0.92578,                0.46894,                 1.1207,                0.97347,                 0.9898,                0.99253,                0.76637,                 0.9074,                0.35792,                 1.1154,              0.0011684,              0.0011684,              0.0011684
                     45,                0.91367,                0.46432,                 1.1079,                 0.9765,                 0.9898,                0.99338,                0.76503,                0.93989,                 0.3629,                  1.153,              0.0011486,              0.0011486,              0.0011486
                     46,                0.93493,                0.45969,                 1.1148,                0.97486,                0.98911,                0.99133,                0.76345,                0.90415,                0.36965,                 1.1082,              0.0011288,              0.0011288,              0.0011288
                     47,                0.91467,                0.45887,                 1.1008,                0.97487,                0.98944,                0.99065,                0.76831,                0.91063,                0.34699,                  1.124,               0.001109,               0.001109,               0.001109
                     48,                0.92238,                0.45928,                 1.1233,                0.97483,                0.98793,                0.99146,                0.76926,                0.90251,                0.34453,                 1.1039,              0.0010892,              0.0010892,              0.0010892
                     49,                0.90989,                0.45508,                 1.1033,                0.97835,                0.98469,                0.99058,                0.75577,                0.94306,                 0.3618,                 1.1343,              0.0010694,              0.0010694,              0.0010694
                     50,                0.92082,                0.46822,                 1.1163,                 0.9747,                0.98293,                0.99293,                0.76635,                0.94658,                0.35479,                 1.1483,              0.0010496,              0.0010496,              0.0010496
                     51,                 0.9155,                0.46829,                 1.1094,                0.97482,                0.98748,                0.99155,                0.77294,                0.89681,                0.35618,                 1.1071,              0.0010298,              0.0010298,              0.0010298
                     52,                0.90278,                0.44939,                 1.1006,                0.96469,                 0.9949,                0.99263,                0.76115,                0.93342,                 0.3508,                 1.1323,                0.00101,                0.00101,                0.00101
                     53,                0.89807,                0.45101,                 1.0947,                0.96511,                0.98791,                0.99028,                0.78167,                0.89743,                0.34215,                 1.1022,              0.0009902,              0.0009902,              0.0009902
                     54,                0.89778,                0.45275,                 1.1107,                 0.9846,                0.97871,                0.99355,                0.76973,                0.90193,                 0.3537,                 1.1065,              0.0009704,              0.0009704,              0.0009704
                     55,                0.88494,                0.44132,                 1.1006,                0.96037,                 0.9949,                0.99193,                0.77655,                0.90982,                0.35334,                 1.1046,              0.0009506,              0.0009506,              0.0009506
                     56,                 0.8965,                0.43619,                 1.1088,                0.98294,                0.97959,                0.99325,                0.79488,                0.87863,                 0.3368,                 1.0936,              0.0009308,              0.0009308,              0.0009308
                     57,                0.87586,                0.43727,                 1.0836,                0.97499,                0.99447,                0.99274,                0.77915,                0.91749,                0.33576,                 1.1126,               0.000911,               0.000911,               0.000911
                     58,                0.90207,                0.44227,                 1.0948,                 0.9801,                 0.9898,                0.99408,                0.77224,                0.92789,                0.33651,                 1.1154,              0.0008912,              0.0008912,              0.0008912
                     59,                0.87548,                0.43243,                 1.0923,                0.97029,                 0.9997,                0.99285,                0.78047,                0.89734,                0.33179,                 1.1028,              0.0008714,              0.0008714,              0.0008714
                     60,                0.87221,                0.43219,                 1.0854,                0.98485,                0.97959,                0.99334,                0.77277,                0.88878,                0.33598,                    1.1,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.8758,                0.42928,                 1.0814,                0.97302,                 0.9898,                0.99356,                0.77856,                 0.9174,                0.33645,                 1.1182,              0.0008318,              0.0008318,              0.0008318
                     62,                0.86271,                0.43021,                 1.0767,                0.96465,                      1,                 0.9924,                0.76971,                0.90519,                0.33237,                 1.1084,               0.000812,               0.000812,               0.000812
                     63,                0.85704,                 0.4217,                 1.0791,                0.97965,                0.98251,                0.99205,                0.76955,                 0.9181,                0.33662,                 1.1184,              0.0007922,              0.0007922,              0.0007922
                     64,                0.85883,                0.41866,                 1.0771,                0.97015,                0.99492,                  0.991,                 0.7608,                0.96257,                0.34396,                 1.1487,              0.0007724,              0.0007724,              0.0007724
                     65,                0.85522,                0.42145,                 1.0782,                 0.9598,                      1,                 0.9895,                0.78087,                0.88015,                0.32675,                 1.0908,              0.0007526,              0.0007526,              0.0007526
                     66,                0.84831,                0.41828,                 1.0809,                0.97966,                0.98313,                0.99112,                0.78059,                 0.8788,                0.33177,                 1.0959,              0.0007328,              0.0007328,              0.0007328
                     67,                0.85049,                0.41501,                 1.0776,                0.97383,                 0.9949,                0.99308,                0.76916,                0.91218,                0.33522,                 1.1199,               0.000713,               0.000713,               0.000713
                     68,                0.85627,                0.41252,                 1.0796,                0.97323,                 0.9949,                0.99207,                0.77474,                0.89037,                0.33355,                 1.0957,              0.0006932,              0.0006932,              0.0006932
                     69,                0.84315,                0.41359,                 1.0751,                0.96942,                 0.9949,                0.99225,                  0.778,                0.88036,                0.32624,                 1.0989,              0.0006734,              0.0006734,              0.0006734
                     70,                0.84089,                0.41138,                  1.071,                0.97344,                0.97959,                0.99144,                0.77927,                0.90142,                0.33275,                 1.1066,              0.0006536,              0.0006536,              0.0006536
                     71,                0.83699,                 0.4126,                 1.0638,                0.98384,                0.98469,                0.99323,                0.76585,                0.92609,                0.33785,                 1.1228,              0.0006338,              0.0006338,              0.0006338
                     72,                0.82402,                0.40979,                  1.062,                 0.9889,                0.97959,                0.99288,                0.78336,                0.87429,                0.32319,                  1.092,               0.000614,               0.000614,               0.000614
                     73,                 0.8182,                0.40525,                 1.0626,                0.97375,                      1,                0.99296,                0.78024,                0.88108,                0.31938,                 1.0872,              0.0005942,              0.0005942,              0.0005942
                     74,                0.81783,                0.40922,                   1.06,                0.97013,                0.99421,                0.99315,                0.77341,                0.91037,                0.32927,                 1.1146,              0.0005744,              0.0005744,              0.0005744
                     75,                 0.8242,                0.40154,                 1.0601,                0.97013,                 0.9944,                0.99201,                0.77756,                0.91005,                0.32947,                 1.1148,              0.0005546,              0.0005546,              0.0005546
                     76,                0.81994,                0.39695,                  1.062,                0.98395,                0.98469,                 0.9899,                0.78148,                0.88883,                0.31795,                 1.0958,              0.0005348,              0.0005348,              0.0005348
                     77,                0.81935,                0.41428,                 1.0602,                0.97869,                 0.9898,                0.99103,                0.77579,                0.89126,                0.31725,                 1.1047,               0.000515,               0.000515,               0.000515
                     78,                0.82075,                0.40707,                 1.0587,                0.97979,                0.98928,                0.99307,                0.78081,                0.88802,                0.31725,                 1.1056,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.8083,                0.39479,                 1.0551,                0.97027,                0.99893,                0.99283,                0.77247,                0.89638,                0.31642,                 1.1102,              0.0004754,              0.0004754,              0.0004754
                     80,                0.80451,                0.39798,                 1.0593,                0.98969,                0.97933,                0.99335,                0.78197,                0.86879,                0.31496,                 1.0958,              0.0004556,              0.0004556,              0.0004556
                     81,                0.79357,                0.39102,                 1.0475,                0.97955,                0.98469,                0.99192,                0.77702,                0.88725,                0.32153,                 1.1034,              0.0004358,              0.0004358,              0.0004358
                     82,                0.78704,                0.38525,                 1.0447,                0.98645,                0.97959,                0.99013,                0.77767,                0.88386,                0.32041,                 1.0998,               0.000416,               0.000416,               0.000416
                     83,                0.80179,                0.39209,                 1.0501,                0.98469,                0.98462,                 0.9933,                0.78228,                0.88623,                0.30796,                 1.1192,              0.0003962,              0.0003962,              0.0003962
                     84,                0.77322,                0.38076,                 1.0407,                 0.9796,                0.97981,                0.99174,                0.77833,                0.88453,                0.31993,                 1.1097,              0.0003764,              0.0003764,              0.0003764
                     85,                0.78616,                0.38064,                 1.0447,                0.97458,                      1,                0.99017,                0.78248,                 0.8898,                0.31152,                 1.1093,              0.0003566,              0.0003566,              0.0003566
                     86,                0.77106,                0.38133,                 1.0432,                0.97511,                0.99927,                0.99156,                 0.7791,                0.87327,                0.31051,                 1.1009,              0.0003368,              0.0003368,              0.0003368
                     87,                0.76988,                0.38004,                  1.042,                0.97978,                0.98871,                0.99122,                0.77946,                0.86655,                 0.3134,                 1.0894,               0.000317,               0.000317,               0.000317
                     88,                0.76998,                0.37729,                 1.0391,                0.98716,                0.97959,                 0.9909,                0.78697,                0.87523,                0.31148,                 1.0971,              0.0002972,              0.0002972,              0.0002972
                     89,                0.76329,                0.36933,                  1.046,                0.99242,                0.97959,                0.99221,                0.78743,                0.87918,                0.31124,                 1.1015,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.7646,                0.37531,                 1.0357,                 0.9882,                0.98469,                0.99339,                0.78655,                0.86463,                0.31093,                 1.0924,              0.0002576,              0.0002576,              0.0002576
                     91,                0.69649,                0.27966,                0.99834,                0.98392,                 0.9898,                0.99125,                0.77009,                0.89083,                0.31058,                 1.1157,              0.0002378,              0.0002378,              0.0002378
                     92,                0.68329,                 0.2726,                0.99659,                0.98973,                0.98379,                0.99267,                0.78346,                0.88955,                0.31029,                 1.1116,               0.000218,               0.000218,               0.000218
                     93,                0.66939,                0.26788,                0.98126,                 0.9896,                0.98469,                0.99261,                0.77234,                0.89908,                0.31195,                 1.1211,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.6624,                0.26604,                0.98378,                0.98869,                0.97959,                0.99213,                0.77097,                0.89582,                0.31189,                 1.1157,              0.0001784,              0.0001784,              0.0001784
                     95,                0.65356,                0.26653,                0.98003,                0.98973,                0.98358,                0.99255,                0.78033,                0.90452,                0.31313,                 1.1276,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.6449,                0.26269,                0.96395,                0.98973,                0.98381,                0.99247,                0.78953,                0.88018,                0.30614,                 1.1102,              0.0001388,              0.0001388,              0.0001388
                     97,                0.64991,                0.25874,                0.96302,                0.98973,                0.98335,                0.99301,                0.78131,                 0.8944,                0.30859,                 1.1222,               0.000119,               0.000119,               0.000119
                     98,                 0.6428,                0.25861,                0.97288,                0.98973,                0.98318,                0.99346,                0.78462,                0.90134,                0.30873,                 1.1274,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.63481,                0.25423,                0.96768,                0.98888,                0.97959,                0.99318,                0.77462,                0.90787,                0.31302,                 1.1279,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.63104,                0.25578,                0.96875,                0.98974,                0.98447,                0.99345,                0.78051,                0.90849,                0.31207,                 1.1289,               5.96e-05,               5.96e-05,               5.96e-05
