                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95271,                0.47972,                 1.1079,                  0.975,                0.97449,                0.99045,                0.74831,                 0.9997,                0.40225,                 1.1565,              0.0016733,              0.0016733,              0.0016733
                     36,                0.93974,                0.48107,                 1.1134,                0.96976,                 0.9818,                0.99119,                0.75357,                0.92972,                0.38627,                 1.1268,              0.0016634,              0.0016634,              0.0016634
                     37,                0.93034,                0.46717,                  1.098,                0.98467,                0.98321,                0.98905,                0.76254,                0.91337,                0.36329,                 1.1161,              0.0016535,              0.0016535,              0.0016535
                     38,                0.93364,                0.47565,                 1.1085,                 0.9702,                0.99654,                0.99201,                0.74919,                0.94204,                0.37377,                 1.1759,              0.0016436,              0.0016436,              0.0016436
                     39,                0.95066,                0.47718,                 1.1119,                0.97164,                 0.9898,                0.98875,                 0.7728,                0.91099,                0.36202,                 1.1069,              0.0016337,              0.0016337,              0.0016337
                     40,                0.94082,                0.46982,                  1.097,                0.97472,                0.98345,                0.99189,                0.76524,                 0.9575,                0.38392,                 1.1259,              0.0016238,              0.0016238,              0.0016238
                     41,                0.91681,                0.48036,                  1.079,                0.96538,                      1,                0.99005,                0.75102,                0.95772,                0.38221,                 1.1359,              0.0016139,              0.0016139,              0.0016139
                     42,                0.93874,                0.46946,                 1.1003,                0.97368,                0.97959,                0.99189,                0.73863,                 1.0175,                0.38424,                  1.189,               0.001604,               0.001604,               0.001604
                     43,                0.94961,                0.48292,                 1.1073,                0.96905,                 0.9949,                0.99256,                0.76314,                 0.9054,                0.34987,                 1.1237,              0.0015941,              0.0015941,              0.0015941
                     44,                0.92834,                 0.4679,                 1.1017,                0.97485,                0.98883,                0.98994,                0.76047,                0.92263,                0.36153,                 1.1301,              0.0015842,              0.0015842,              0.0015842
                     45,                0.94694,                0.48095,                 1.1182,                0.98865,                0.97449,                0.99146,                0.75109,                0.94411,                0.36324,                 1.1349,              0.0015743,              0.0015743,              0.0015743
                     46,                0.93029,                0.45918,                 1.1051,                0.97044,                 0.9898,                0.99181,                0.76018,                0.94569,                0.35822,                 1.1392,              0.0015644,              0.0015644,              0.0015644
                     47,                0.92809,                0.48023,                 1.0954,                0.97516,                0.98469,                0.99287,                0.75887,                0.91553,                0.34963,                 1.1208,              0.0015545,              0.0015545,              0.0015545
                     48,                0.90629,                0.44993,                 1.0829,                0.97759,                0.98469,                0.99188,                0.75997,                0.99029,                0.36803,                 1.1605,              0.0015446,              0.0015446,              0.0015446
                     49,                0.91512,                0.45632,                 1.1021,                0.97469,                 0.9949,                0.98746,                0.76121,                0.90159,                0.34802,                 1.1184,              0.0015347,              0.0015347,              0.0015347
                     50,                0.92336,                0.45432,                 1.0968,                0.97985,                0.99244,                0.99292,                0.76203,                0.99987,                0.36308,                  1.164,              0.0015248,              0.0015248,              0.0015248
                     51,                0.89591,                0.45637,                 1.0799,                0.98473,                0.98728,                0.99293,                0.76268,                0.98738,                 0.3579,                 1.1731,              0.0015149,              0.0015149,              0.0015149
                     52,                0.91085,                0.45367,                 1.0928,                0.96551,                0.99986,                0.99237,                0.77166,                0.96526,                   0.36,                 1.1362,               0.001505,               0.001505,               0.001505
                     53,                0.89262,                0.44667,                 1.0879,                0.98368,                 0.9898,                0.99279,                 0.7616,                0.97671,                0.35661,                 1.1444,              0.0014951,              0.0014951,              0.0014951
                     54,                0.88638,                0.44068,                 1.0747,                 0.9749,                0.99087,                0.99011,                0.76059,                0.97954,                0.36424,                 1.1416,              0.0014852,              0.0014852,              0.0014852
                     55,                0.89674,                0.45394,                 1.0848,                0.97505,                0.99699,                0.98968,                0.77001,                0.97374,                  0.358,                 1.1453,              0.0014753,              0.0014753,              0.0014753
                     56,                0.86733,                0.43797,                 1.0714,                0.96489,                      1,                  0.989,                0.75365,                 1.0097,                 0.3678,                   1.18,              0.0014654,              0.0014654,              0.0014654
                     57,                0.90683,                0.44642,                 1.1056,                0.97452,                 0.9949,                0.99237,                0.76505,                0.94189,                0.35508,                 1.1406,              0.0014555,              0.0014555,              0.0014555
                     58,                 0.8991,                0.44087,                 1.0973,                0.98568,                0.97959,                0.99428,                 0.7614,                0.97239,                0.37762,                 1.1419,              0.0014456,              0.0014456,              0.0014456
                     59,                0.87749,                0.42963,                 1.0699,                0.98397,                 0.9898,                 0.9937,                0.76284,                0.95607,                0.34343,                 1.1304,              0.0014357,              0.0014357,              0.0014357
                     60,                0.89034,                0.43828,                 1.0789,                 0.9885,                0.98469,                0.99367,                0.75651,                0.92909,                0.34295,                 1.1248,              0.0014258,              0.0014258,              0.0014258
                     61,                0.87171,                 0.4359,                  1.079,                0.96912,                      1,                0.99303,                0.76947,                0.93258,                  0.337,                 1.1129,              0.0014159,              0.0014159,              0.0014159
                     62,                0.88528,                0.44295,                   1.08,                0.98973,                0.98382,                0.99223,                0.77211,                 0.8985,                0.32955,                 1.1151,               0.001406,               0.001406,               0.001406
                     63,                 0.8641,                0.43199,                 1.0703,                0.97494,                 0.9898,                0.98344,                0.76652,                0.92586,                0.34596,                 1.1266,              0.0013961,              0.0013961,              0.0013961
                     64,                 0.8644,                0.42691,                 1.0692,                0.96566,                 0.9898,                0.98712,                0.73997,                0.96805,                0.35052,                 1.1607,              0.0013862,              0.0013862,              0.0013862
                     65,                 0.8697,                0.44127,                 1.0711,                0.96526,                 0.9898,                0.99329,                0.76477,                0.91517,                0.34999,                 1.1211,              0.0013763,              0.0013763,              0.0013763
                     66,                0.84695,                0.42601,                 1.0603,                0.97499,                0.99453,                0.99108,                0.76519,                0.91374,                0.34457,                 1.1263,              0.0013664,              0.0013664,              0.0013664
                     67,                0.84361,                0.42436,                 1.0644,                0.98828,                0.98469,                0.99344,                0.76477,                0.95421,                0.33376,                 1.1418,              0.0013565,              0.0013565,              0.0013565
                     68,                0.84751,                 0.4294,                 1.0615,                0.98091,                 0.9898,                0.98897,                0.75429,                0.99943,                0.35164,                  1.174,              0.0013466,              0.0013466,              0.0013466
                     69,                0.85596,                0.42542,                 1.0625,                0.98238,                 0.9898,                0.99333,                 0.7757,                0.93551,                 0.3387,                 1.1303,              0.0013367,              0.0013367,              0.0013367
                     70,                0.85585,                0.41731,                 1.0669,                0.98545,                0.98469,                0.98972,                0.76822,                0.93754,                0.34276,                  1.145,              0.0013268,              0.0013268,              0.0013268
                     71,                0.85176,                0.42061,                 1.0615,                 0.9799,                0.99478,                0.99014,                0.75583,                0.92071,                0.33415,                 1.1167,              0.0013169,              0.0013169,              0.0013169
                     72,                0.85055,                0.42889,                 1.0633,                0.98377,                0.97959,                0.98996,                0.76398,                0.91961,                0.34034,                 1.1337,               0.001307,               0.001307,               0.001307
                     73,                0.82114,                0.41547,                 1.0579,                0.97118,                 0.9898,                0.99274,                0.75672,                0.92307,                0.33406,                 1.1434,              0.0012971,              0.0012971,              0.0012971
                     74,                0.83297,                0.41916,                 1.0547,                0.96916,                      1,                0.98977,                0.75934,                0.90817,                0.33226,                 1.1274,              0.0012872,              0.0012872,              0.0012872
                     75,                0.84002,                0.42529,                 1.0624,                0.96443,                      1,                0.99308,                  0.766,                0.94864,                0.34488,                 1.1533,              0.0012773,              0.0012773,              0.0012773
                     76,                0.84028,                0.41308,                 1.0558,                0.96532,                0.99422,                0.98826,                0.76088,                0.94496,                0.34097,                 1.1396,              0.0012674,              0.0012674,              0.0012674
                     77,                0.83582,                0.42873,                 1.0568,                0.98475,                0.98871,                0.99225,                0.76205,                 0.9661,                0.33518,                 1.1557,              0.0012575,              0.0012575,              0.0012575
