                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0177,                0.60231,                 1.5676,                  0.974,                0.97959,                 0.9909,                0.73783,                0.94041,                0.44875,                 1.5492,              0.0013466,              0.0013466,              0.0013466
                     36,                  1.015,                0.61032,                 1.5767,                0.97208,                0.97959,                0.98813,                 0.7494,                0.92511,                0.45899,                 1.5151,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0071,                0.59727,                 1.5678,                0.96533,                0.99444,                 0.9897,                0.76071,                  0.912,                0.45934,                 1.5684,               0.001307,               0.001307,               0.001307
                     38,                 1.0029,                0.58997,                 1.5639,                0.96245,                 0.9949,                0.98469,                0.74975,                0.90571,                0.46569,                 1.5245,              0.0012872,              0.0012872,              0.0012872
                     39,                0.99848,                 0.5821,                 1.5598,                0.94945,                0.98469,                0.98563,                 0.7538,                0.89605,                0.45636,                  1.542,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0173,                0.58898,                 1.5702,                0.96394,                0.98469,                0.98878,                0.76395,                0.89436,                0.44842,                  1.528,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0063,                0.59937,                 1.5596,                0.96515,                0.98913,                0.98795,                 0.7548,                0.90561,                0.43872,                 1.5183,              0.0012278,              0.0012278,              0.0012278
                     42,                0.99839,                0.58687,                 1.5498,                0.97472,                0.98375,                0.98655,                0.74932,                0.92469,                0.45145,                  1.552,               0.001208,               0.001208,               0.001208
                     43,                 0.9914,                 0.5852,                 1.5527,                0.97457,                0.97449,                0.98787,                0.73999,                0.91177,                0.44622,                 1.5283,              0.0011882,              0.0011882,              0.0011882
                     44,                0.97746,                0.57514,                 1.5298,                0.97956,                0.97809,                0.99089,                0.75651,                0.90079,                0.43131,                 1.5162,              0.0011684,              0.0011684,              0.0011684
                     45,                 0.9863,                0.57822,                  1.543,                0.97157,                 0.9898,                0.98826,                0.75823,                0.92992,                0.44296,                 1.5733,              0.0011486,              0.0011486,              0.0011486
                     46,                0.99606,                0.57486,                 1.5569,                0.95663,                 0.9898,                0.98563,                0.74288,                0.89958,                0.45207,                 1.5318,              0.0011288,              0.0011288,              0.0011288
                     47,                0.99323,                0.57788,                  1.549,                0.96532,                 0.9898,                 0.9899,                 0.7447,                0.90771,                0.44717,                 1.5261,               0.001109,               0.001109,               0.001109
                     48,                 0.9767,                0.57593,                  1.536,                0.96981,                0.98329,                0.99006,                0.75204,                0.92523,                0.43203,                 1.5613,              0.0010892,              0.0010892,              0.0010892
